60:  Para cada cliente, calcula el total pagado en pagos procesados por el empleado 2.
customer_id	first_name	last_name	total_paid_by_staff2
174	YVONNE	WATKINS	40.92
175	ANNETTE	OLSON	63.87
176	JUNE	CARROLL	46.89
177	SAMANTHA	DUNCAN	39.89
178	MARION	SNYDER	85.80
179	DANA	HART	42.91
180	STACY	CUNNINGHAM	30.92
181	ANA	BRADLEY	89.81
182	RENEE	LANE	41.88
183	IDA	ANDREWS	40.87
184	VIVIAN	RUIZ	55.89
185	ROBERTA	HARPER	23.91
186	HOLLY	FOX	50.86
187	BRITTANY	RILEY	110.81
188	MELANIE	ARMSTRONG	66.82
189	LORETTA	CARPENTER	37.91
190	YOLANDA	WEAVER	63.85
191	JEANETTE	GREENE	28.92
192	LAURIE	LAWRENCE	37.90
193	KATIE	ELLIOTT	55.87
194	KRISTEN	CHAVEZ	50.91
195	VANESSA	SIMS	48.89
196	ALMA	AUSTIN	90.78
197	SUE	PETERS	71.82
198	ELSIE	KELLEY	51.84
199	BETH	FRANKLIN	48.89
200	JEANNE	LAWSON	63.87
201	VICKI	FIELDS	70.85
202	CARLA	GUTIERREZ	48.89
203	TARA	RYAN	61.88
204	ROSEMARY	SCHMIDT	75.81
205	EILEEN	CARR	48.91
206	TERRI	VASQUEZ	76.83
207	GERTRUDE	CASTILLO	99.79
208	LUCY	WHEELER	48.87
209	TONYA	CHAPMAN	93.84
210	ELLA	OLIVER	87.80
211	STACEY	MONTGOMERY	108.77
212	WILMA	RICHARDS	60.87
213	GINA	WILLIAMSON	62.84
214	KRISTIN	JOHNSTON	75.81
215	JESSIE	BANKS	68.83
216	NATALIE	MEYER	52.89
217	AGNES	BISHOP	53.87
218	VERA	MCCOY	40.91
219	WILLIE	HOWELL	49.86
220	CHARLENE	ALVAREZ	70.85
221	BESSIE	MORRISON	48.88
222	DELORES	HANSEN	55.87
223	MELINDA	FERNANDEZ	45.91
224	PEARL	GARZA	36.90
225	ARLENE	HARVEY	57.86
226	MAUREEN	LITTLE	20.94
227	COLLEEN	BURTON	39.88
228	ALLISON	STANLEY	54.84
229	TAMARA	NGUYEN	49.85
230	JOY	GEORGE	68.82
231	GEORGIA	JACOBS	43.90
232	CONSTANCE	REID	52.84
233	LILLIE	KIM	38.89
234	CLAUDIA	FULLER	70.85
235	JACKIE	LYNCH	43.87
236	MARCIA	DEAN	100.78
237	TANYA	GILBERT	100.79
238	NELLIE	GARRETT	27.94
239	MINNIE	ROMERO	64.85
240	MARLENE	WELCH	54.87
241	HEIDI	LARSON	54.85
242	GLENDA	FRAZIER	69.83
243	LYDIA	BURKE	44.88
244	VIOLA	HANSON	63.82
245	COURTNEY	DAY	51.87
246	MARIAN	MENDOZA	47.89
247	STELLA	MORENO	27.93
248	CAROLINE	BOWMAN	34.92
249	DORA	MEDINA	44.89
250	JO	FOWLER	23.94
251	VICKIE	BREWER	77.82
252	MATTIE	HOFFMAN	27.89
253	TERRY	CARLSON	72.83
254	MAXINE	SILVA	45.87
255	IRMA	PEARSON	35.92
256	MABEL	HOLLAND	62.84
257	MARSHA	DOUGLAS	93.78
258	MYRTLE	FLEMING	57.87
259	LENA	JENSEN	94.82
260	CHRISTY	VARGAS	45.87
261	DEANNA	BYRD	53.88
262	PATSY	DAVIDSON	55.88
263	HILDA	HOPKINS	72.85
264	GWENDOLYN	MAY	18.92
265	JENNIE	TERRY	79.84
266	NORA	HERRERA	50.88
267	MARGIE	WADE	81.82
268	NINA	SOTO	95.80
269	CASSANDRA	WALTERS	57.86
270	LEAH	CURTIS	38.91
271	PENNY	NEAL	26.93
272	KAY	CALDWELL	61.89
273	PRISCILLA	LOWE	73.82
274	NAOMI	JENNINGS	79.83
275	CAROLE	BARNETT	66.81
276	BRANDY	GRAVES	66.85
277	OLGA	JIMENEZ	83.81
278	BILLIE	HORTON	36.89
279	DIANNE	SHELTON	46.89
280	TRACEY	BARRETT	45.88
281	LEONA	OBRIEN	34.91
282	JENNY	CASTRO	70.82
283	FELICIA	SUTTON	46.85
284	SONIA	GREGORY	45.89
285	MIRIAM	MCKINNEY	54.88
286	VELMA	LUCAS	62.87
287	BECKY	MILES	77.79
288	BOBBIE	CRAIG	39.87
289	VIOLET	RODRIQUEZ	99.80
290	KRISTINA	CHAMBERS	55.86
291	TONI	HOLT	54.87
292	MISTY	LAMBERT	31.91
293	MAE	FLETCHER	68.85
294	SHELLY	WATTS	62.85
295	DAISY	BATES	75.82
296	RAMONA	HALE	69.84
297	SHERRI	RHODES	41.87
298	ERIKA	PENA	54.85
299	JAMES	GANNON	57.87
300	JOHN	FARNSWORTH	42.88
301	ROBERT	BAUGHMAN	64.86
302	MICHAEL	SILVERMAN	64.83
303	WILLIAM	SATTERFIELD	43.88
304	DAVID	ROYAL	46.89
305	RICHARD	MCCRARY	53.85
306	CHARLES	KOWALSKI	79.82
307	JOSEPH	JOY	37.93
308	THOMAS	GRIGSBY	37.90
309	CHRISTOPHER	GRECO	104.81
310	DANIEL	CABRAL	53.89
311	PAUL	TROUT	85.84
312	MARK	RINEHART	37.90
313	DONALD	MAHON	62.83
314	GEORGE	LINTON	79.82
315	KENNETH	GOODEN	33.93
316	STEVEN	CURLEY	63.86
317	EDWARD	BAUGH	44.89
318	BRIAN	WYMAN	18.95
319	RONALD	WEINER	56.85
320	ANTHONY	SCHWAB	60.85
321	KEVIN	SCHULER	69.88
322	JASON	MORRISSEY	61.86
323	MATTHEW	MAHAN	51.86
324	GARY	COY	48.88
325	TIMOTHY	BUNN	58.85
326	JOSE	ANDREW	50.84
327	LARRY	THRASHER	46.90
328	JEFFREY	SPEAR	42.90
329	FRANK	WAGGONER	46.85
330	SCOTT	SHELLEY	49.87
331	ERIC	ROBERT	43.92
332	STEPHEN	QUALLS	69.84
333	ANDREW	PURDY	55.86
334	RAYMOND	MCWHORTER	52.88
335	GREGORY	MAULDIN	28.90
336	JOSHUA	MARK	75.80
337	JERRY	JORDON	64.87
338	DENNIS	GILMAN	54.88
339	WALTER	PERRYMAN	60.87
340	PATRICK	NEWSOM	54.86
341	PETER	MENARD	61.86
342	HAROLD	MARTINO	79.83
343	DOUGLAS	GRAF	66.85
344	HENRY	BILLINGSLEY	60.87
345	CARL	ARTIS	52.88
346	ARTHUR	SIMPKINS	79.83
347	RYAN	SALISBURY	83.82
348	ROGER	QUINTANILLA	83.77
349	JOE	GILLILAND	62.89
350	JUAN	FRALEY	41.89
351	JACK	FOUST	44.89
352	ALBERT	CROUSE	33.92
353	JONATHAN	SCARBOROUGH	54.87
354	JUSTIN	NGO	46.84
355	TERRY	GRISSOM	31.91
356	GERALD	FULTZ	67.87
357	KEITH	RICO	40.88
358	SAMUEL	MARLOW	23.94
359	WILLIE	MARKHAM	49.89
360	RALPH	MADRIGAL	84.82
361	LAWRENCE	LAWTON	57.84
362	NICHOLAS	BARFIELD	64.86
363	ROY	WHITING	70.84
364	BENJAMIN	VARNEY	52.88
365	BRUCE	SCHWARZ	42.90
366	BRANDON	HUEY	64.83
367	ADAM	GOOCH	49.89
368	HARRY	ARCE	64.86
369	FRED	WHEAT	51.87
370	WAYNE	TRUONG	34.90
371	BILLY	POULIN	59.88
372	STEVE	MACKENZIE	85.87
373	LOUIS	LEONE	71.84
374	JEREMY	HURTADO	69.82
375	AARON	SELBY	46.90
376	RANDY	GAITHER	29.93
377	HOWARD	FORTNER	42.90
378	EUGENE	CULPEPPER	32.92
379	CARLOS	COUGHLIN	36.92
380	RUSSELL	BRINSON	40.87
381	BOBBY	BOUDREAU	67.78
382	VICTOR	BARKLEY	44.87
383	MARTIN	BALES	38.88
384	ERNEST	STEPP	55.83
385	PHILLIP	HOLM	40.92
386	TODD	TAN	52.88
387	JESSE	SCHILLING	53.86
388	CRAIG	MORRELL	86.79
389	ALAN	KAHN	47.90
390	SHAWN	HEATON	74.84
391	CLARENCE	GAMEZ	35.89
392	SEAN	DOUGLASS	55.87
393	PHILIP	CAUSEY	69.81
394	CHRIS	BROTHERS	39.90
395	JOHNNY	TURPIN	11.95
396	EARL	SHANKS	84.80
397	JIMMY	SCHRADER	56.83
398	ANTONIO	MEEK	46.91
399	DANNY	ISOM	64.86
400	BRYAN	HARDISON	84.82
401	TONY	CARRANZA	41.89
402	LUIS	YANEZ	59.85
403	MIKE	WAY	81.83
404	STANLEY	SCROGGINS	60.88
405	LEONARD	SCHOFIELD	49.87
406	NATHAN	RUNYON	67.81
407	DALE	RATCLIFF	53.87
408	MANUEL	MURRELL	71.82
409	RODNEY	MOELLER	49.89
410	CURTIS	IRBY	65.86
411	NORMAN	CURRIER	48.85
412	ALLEN	BUTTERFIELD	33.91
413	MARVIN	YEE	33.91
414	VINCENT	RALSTON	32.91
415	GLENN	PULLEN	58.86
416	JEFFERY	PINSON	42.86
417	TRAVIS	ESTEP	41.90
418	JEFF	EAST	56.87
419	CHAD	CARBONE	36.89
420	JACOB	LANCE	56.86
421	LEE	HAWKS	46.89
422	MELVIN	ELLINGTON	47.86
423	ALFRED	CASILLAS	60.88
424	KYLE	SPURLOCK	62.81
425	FRANCIS	SIKES	55.87
426	BRADLEY	MOTLEY	57.87
427	JESUS	MCCARTNEY	53.89
428	HERBERT	KRUGER	30.91
429	FREDERICK	ISBELL	86.84
430	RAY	HOULE	20.91
431	JOEL	FRANCISCO	55.87
432	EDWIN	BURK	48.89
433	DON	BONE	57.89
434	EDDIE	TOMLIN	85.84
435	RICKY	SHELBY	23.92
436	TROY	QUIGLEY	74.84
437	RANDALL	NEUMANN	64.86
438	BARRY	LOVELACE	78.79
439	ALEXANDER	FENNELL	80.83
440	BERNARD	COLBY	41.89
441	MARIO	CHEATHAM	58.84
442	LEROY	BUSTAMANTE	59.84
443	FRANCISCO	SKIDMORE	45.90
444	MARCUS	HIDALGO	65.84
445	MICHEAL	FORMAN	36.89
446	THEODORE	CULP	62.83
447	CLIFFORD	BOWENS	48.86
448	MIGUEL	BETANCOURT	79.82
449	OSCAR	AQUINO	60.88
450	JAY	ROBB	35.89
451	JIM	REA	65.83
452	TOM	MILNER	55.87
453	CALVIN	MARTEL	62.88
454	ALEX	GRESHAM	89.81
455	JON	WILES	39.88
456	RONNIE	RICKETTS	36.90
457	BILL	GAVIN	49.90
458	LLOYD	DOWD	48.87
459	TOMMY	COLLAZO	77.84
460	LEON	BOSTIC	56.87
461	DEREK	BLAKELY	56.83
462	WARREN	SHERROD	61.88
463	DARRELL	POWER	45.91
464	JEROME	KENYON	23.93
465	FLOYD	GANDY	25.93
466	LEO	EBERT	41.89
467	ALVIN	DELOACH	71.86
468	TIM	CARY	100.80
469	WESLEY	BULL	76.81
470	GORDON	ALLARD	70.86
471	DEAN	SAUER	42.89
472	GREG	ROBINS	78.84
473	JORGE	OLIVARES	93.79
474	DUSTIN	GILLETTE	38.90
475	PEDRO	CHESTNUT	37.92
476	DERRICK	BOURQUE	42.92
477	DAN	PAINE	60.88
478	LEWIS	LYMAN	47.90
479	ZACHARY	HITE	98.81
480	COREY	HAUSER	67.87
481	HERMAN	DEVORE	58.85
482	MAURICE	CRAWLEY	89.80
483	VERNON	CHAPA	39.90
484	ROBERTO	VU	81.83
485	CLYDE	TOBIAS	57.86
486	GLEN	TALBERT	63.84
487	HECTOR	POINDEXTER	52.86
488	SHANE	MILLARD	65.86
489	RICARDO	MEADOR	43.91
490	SAM	MCDUFFIE	63.87
491	RICK	MATTOX	71.85
492	LESTER	KRAUS	37.91
493	BRENT	HARKINS	42.92
494	RAMON	CHOATE	94.81
495	CHARLIE	BESS	59.86
496	TYLER	WREN	37.91
497	GILBERT	SLEDGE	55.88
498	GENE	SANBORN	25.90
499	MARC	OUTLAW	50.86
500	REGINALD	KINDER	52.88
501	RUBEN	GEARY	48.90
502	BRETT	CORNWELL	64.85
503	ANGEL	BARCLAY	45.87
504	NATHANIEL	ADAM	71.84
505	RAFAEL	ABNEY	46.92
506	LESLIE	SEWARD	88.79
507	EDGAR	RHOADS	51.87
508	MILTON	HOWLAND	78.85
509	RAUL	FORTIER	40.90
510	BEN	EASTER	67.85
511	CHESTER	BENNER	38.92
512	CECIL	VINES	61.88
513	DUANE	TUBBS	78.84
514	FRANKLIN	TROUTMAN	32.91
515	ANDRE	RAPP	88.79
516	ELMER	NOE	42.89
517	BRAD	MCCURDY	53.86
518	GABRIEL	HARDER	61.86
519	RON	DELUCA	67.85
520	MITCHELL	WESTMORELAND	48.89
521	ROLAND	SOUTH	50.86
522	ARNOLD	HAVENS	108.79
523	HARVEY	GUAJARDO	31.90
524	JARED	ELY	49.89
525	ADRIAN	CLARY	40.92
526	KARL	SEAL	109.76
527	CORY	MEEHAN	17.93
528	CLAUDE	HERZOG	60.87
529	ERIK	GUILLEN	68.83
530	DARRYL	ASHCRAFT	33.90
531	JAMIE	WAUGH	64.85
532	NEIL	RENNER	80.83
533	JESSIE	MILAM	51.87
534	CHRISTIAN	JUNG	52.86
535	JAVIER	ELROD	59.88
536	FERNANDO	CHURCHILL	34.92
537	CLINTON	BUFORD	52.88
538	TED	BREAUX	60.87
539	MATHEW	BOLIN	62.87
540	TYRONE	ASHER	73.84
541	DARREN	WINDHAM	44.88
542	LONNIE	TIRADO	55.90
543	LANCE	PEMBERTON	48.89
544	CODY	NOLEN	41.93
545	JULIO	NOLAND	50.89
546	KELLY	KNOTT	41.90
547	KURT	EMMONS	61.87
548	ALLAN	CORNISH	41.90
549	NELSON	CHRISTENSON	54.87
550	GUY	BROWNLEE	72.86
551	CLAYTON	BARBEE	68.85
552	HUGH	WALDROP	57.86
553	MAX	PITT	57.86
554	DWAYNE	OLVERA	38.93
555	DWIGHT	LOMBARDI	41.91
556	ARMANDO	GRUBER	46.89
557	FELIX	GAFFNEY	41.89
558	JIMMIE	EGGLESTON	83.87
559	EVERETT	BANDA	40.89
560	JORDAN	ARCHULETA	61.87
561	IAN	STILL	36.90
562	WALLACE	SLONE	59.86
563	KEN	PREWITT	77.82
564	BOB	PFEIFFER	69.84
565	JAIME	NETTLES	55.89
566	CASEY	MENA	81.82
567	ALFREDO	MCADAMS	47.88
568	ALBERTO	HENNING	37.88
569	DAVE	GARDINER	60.83
570	IVAN	CROMWELL	66.85
571	JOHNNIE	CHISHOLM	45.90
572	SIDNEY	BURLESON	52.90
573	BYRON	BOX	61.88
574	JULIAN	VEST	24.93
575	ISAAC	OGLESBY	76.83
576	MORRIS	MCCARTER	70.84
577	CLIFTON	MALCOLM	66.83
578	WILLARD	LUMPKIN	51.89
579	DARYL	LARUE	71.85
580	ROSS	GREY	39.87
581	VIRGIL	WOFFORD	48.87
582	ANDY	VANHORN	52.90
583	MARSHALL	THORN	67.88
584	SALVADOR	TEEL	82.83
585	PERRY	SWAFFORD	60.87
586	KIRK	STCLAIR	28.91
587	SERGIO	STANFIELD	77.83
588	MARION	OCAMPO	57.87
589	TRACY	HERRMANN	63.86
590	SETH	HANNON	50.88
591	KENT	ARSENAULT	54.89
592	TERRANCE	ROUSH	40.87
593	RENE	MCALISTER	51.87
594	EDUARDO	HIATT	41.89
595	TERRENCE	GUNDERSON	43.87
596	ENRIQUE	FORSYTHE	41.89
597	FREDDIE	DUGGAN	49.89
598	WADE	DELVALLE	39.88
599	AUSTIN	CINTRON	54.89

