46:  Para cada cliente, suma el total pagado por alquileres cuyo empleado pertenece a la tienda 1.
customer_id	first_name	last_name	total_amount
110	TIFFANY	JORDAN	35.92
111	CARMEN	OWENS	24.94
112	ROSA	REYNOLDS	57.86
113	CINDY	FISHER	51.86
114	GRACE	ELLIS	74.81
115	WENDY	HARRISON	56.85
116	VICTORIA	GIBSON	38.88
117	EDITH	MCDONALD	51.87
118	KIM	CRUZ	31.89
119	SHERRY	MARSHALL	68.86
120	SYLVIA	ORTIZ	68.86
121	JOSEPHINE	GOMEZ	43.89
122	THELMA	MURRAY	46.86
123	SHANNON	FREEMAN	48.87
124	SHEILA	WELLS	30.93
125	ETHEL	WEBB	86.80
126	ELLEN	SIMPSON	62.85
127	ELAINE	STEVENS	59.87
128	MARJORIE	TUCKER	48.88
129	CARRIE	PORTER	59.82
130	CHARLOTTE	HUNTER	47.87
131	MONICA	HICKS	85.81
132	ESTHER	CRAWFORD	62.84
133	PAULINE	HENRY	48.87
134	EMMA	BOYD	56.90
135	JUANITA	MASON	58.82
136	ANITA	MORALES	27.94
137	RHONDA	KENNEDY	115.77
138	HAZEL	WARREN	73.77
139	AMBER	DIXON	59.86
140	EVA	RAMOS	59.87
141	DEBBIE	REYES	65.82
142	APRIL	BURNS	47.85
143	LESLIE	GORDON	56.86
144	CLARA	SHAW	92.78
145	LUCILLE	HOLMES	35.90
146	JAMIE	RICE	79.83
147	JOANNE	ROBERTSON	48.86
148	ELEANOR	HUNT	105.76
149	VALERIE	BLACK	67.85
150	DANIELLE	DANIELS	45.88
151	MEGAN	PALMER	50.87
152	ALICIA	MILLS	54.87
153	SUZANNE	NICHOLS	48.86
154	MICHELE	GRANT	65.83
155	GAIL	KNIGHT	65.85
156	BERTHA	FERGUSON	37.90
157	DARLENE	ROSE	68.83
158	VERONICA	STONE	69.81
159	JILL	HAWKINS	22.91
160	ERIN	DUNN	54.87
161	GERALDINE	PERKINS	67.83
162	LAUREN	HUDSON	43.88
163	CATHY	SPENCER	41.89
164	JOANN	GARDNER	29.94
165	LORRAINE	STEPHENS	31.91
166	LYNN	PAYNE	61.86
167	SALLY	PIERCE	70.81
168	REGINA	BERRY	77.82
169	ERICA	MATTHEWS	40.91
170	BEATRICE	ARNOLD	53.89
171	DOLORES	WAGNER	36.91
172	BERNICE	WILLIS	62.84
173	AUDREY	RAY	61.87
174	YVONNE	WATKINS	51.87
175	ANNETTE	OLSON	34.89
176	JUNE	CARROLL	126.74
177	SAMANTHA	DUNCAN	31.88
178	MARION	SNYDER	108.81
179	DANA	HART	90.80
180	STACY	CUNNINGHAM	67.85
181	ANA	BRADLEY	84.85
182	RENEE	LANE	55.86
183	IDA	ANDREWS	35.90
184	VIVIAN	RUIZ	34.88
185	ROBERTA	HARPER	60.86
186	HOLLY	FOX	63.83
187	BRITTANY	RILEY	48.91
188	MELANIE	ARMSTRONG	25.93
189	LORETTA	CARPENTER	55.87
190	YOLANDA	WEAVER	46.88
191	JEANETTE	GREENE	45.88
192	LAURIE	LAWRENCE	61.87
193	KATIE	ELLIOTT	53.88
194	KRISTEN	CHAVEZ	36.91
195	VANESSA	SIMS	37.92
196	ALMA	AUSTIN	60.87
197	SUE	PETERS	82.78
198	ELSIE	KELLEY	89.79
199	BETH	FRANKLIN	54.86
200	JEANNE	LAWSON	72.86
201	VICKI	FIELDS	37.90
202	CARLA	GUTIERREZ	54.85
203	TARA	RYAN	26.92
204	ROSEMARY	SCHMIDT	71.84
205	EILEEN	CARR	31.91
206	TERRI	VASQUEZ	49.90
207	GERTRUDE	CASTILLO	37.87
208	LUCY	WHEELER	42.87
209	TONYA	CHAPMAN	67.84
210	ELLA	OLIVER	49.89
211	STACEY	MONTGOMERY	42.89
212	WILMA	RICHARDS	30.93
213	GINA	WILLIAMSON	48.88
214	KRISTIN	JOHNSTON	40.88
215	JESSIE	BANKS	22.91
216	NATALIE	MEYER	42.88
217	AGNES	BISHOP	44.90
218	VERA	MCCOY	26.91
219	WILLIE	HOWELL	51.88
220	CHARLENE	ALVAREZ	43.88
221	BESSIE	MORRISON	83.84
222	DELORES	HANSEN	35.92
223	MELINDA	FERNANDEZ	34.92
224	PEARL	GARZA	39.88
225	ARLENE	HARVEY	62.88
226	MAUREEN	LITTLE	66.85
227	COLLEEN	BURTON	47.88
228	ALLISON	STANLEY	37.89
229	TAMARA	NGUYEN	43.90
230	JOY	GEORGE	55.85
231	GEORGIA	JACOBS	66.84
232	CONSTANCE	REID	42.91
233	LILLIE	KIM	50.88
234	CLAUDIA	FULLER	40.89
235	JACKIE	LYNCH	49.88
236	MARCIA	DEAN	74.80
237	TANYA	GILBERT	43.88
238	NELLIE	GARRETT	66.85
239	MINNIE	ROMERO	77.81
240	MARLENE	WELCH	62.87
241	HEIDI	LARSON	67.81
242	GLENDA	FRAZIER	70.85
243	LYDIA	BURKE	37.88
244	VIOLA	HANSON	65.86
245	COURTNEY	DAY	80.81
246	MARIAN	MENDOZA	59.88
247	STELLA	MORENO	76.85
248	CAROLINE	BOWMAN	15.93
249	DORA	MEDINA	62.88
250	JO	FOWLER	49.86
251	VICKIE	BREWER	42.87
252	MATTIE	HOFFMAN	36.89
253	TERRY	CARLSON	54.88
254	MAXINE	SILVA	70.81
255	IRMA	PEARSON	34.90
256	MABEL	HOLLAND	49.86
257	MARSHA	DOUGLAS	57.85
258	MYRTLE	FLEMING	52.89
259	LENA	JENSEN	73.86
260	CHRISTY	VARGAS	76.82
261	DEANNA	BYRD	53.86
262	PATSY	DAVIDSON	63.84
263	HILDA	HOPKINS	49.86
264	GWENDOLYN	MAY	79.83
265	JENNIE	TERRY	53.87
266	NORA	HERRERA	67.84
267	MARGIE	WADE	77.82
268	NINA	SOTO	27.91
269	CASSANDRA	WALTERS	71.84
270	LEAH	CURTIS	65.84
271	PENNY	NEAL	41.89
272	KAY	CALDWELL	36.91
273	PRISCILLA	LOWE	83.83
274	NAOMI	JENNINGS	72.82
275	CAROLE	BARNETT	41.89
276	BRANDY	GRAVES	55.87
277	OLGA	JIMENEZ	60.87
278	BILLIE	HORTON	51.85
279	DIANNE	SHELTON	88.80
280	TRACEY	BARRETT	72.85
281	LEONA	OBRIEN	15.95
282	JENNY	CASTRO	32.91
283	FELICIA	SUTTON	39.87
284	SONIA	GREGORY	80.83
285	MIRIAM	MCKINNEY	80.86
286	VELMA	LUCAS	54.86
287	BECKY	MILES	37.92
288	BOBBIE	CRAIG	40.89
289	VIOLET	RODRIQUEZ	42.90
290	KRISTINA	CHAMBERS	53.86
291	TONI	HOLT	40.90
292	MISTY	LAMBERT	86.82
293	MAE	FLETCHER	89.84
294	SHELLY	WATTS	50.89
295	DAISY	BATES	86.80
296	RAMONA	HALE	59.86
297	SHERRI	RHODES	86.80
298	ERIKA	PENA	46.89
299	JAMES	GANNON	73.83
300	JOHN	FARNSWORTH	94.81
301	ROBERT	BAUGHMAN	27.93
302	MICHAEL	SILVERMAN	62.88
303	WILLIAM	SATTERFIELD	56.86
304	DAVID	ROYAL	68.85
305	RICHARD	MCCRARY	55.90
306	CHARLES	KOWALSKI	58.86
307	JOSEPH	JOY	96.77
308	THOMAS	GRIGSBY	67.85
309	CHRISTOPHER	GRECO	42.88
310	DANIEL	CABRAL	43.91
311	PAUL	TROUT	34.93
312	MARK	RINEHART	66.84
313	DONALD	MAHON	26.94
314	GEORGE	LINTON	51.85
315	KENNETH	GOODEN	50.90
316	STEVEN	CURLEY	68.85
317	EDWARD	BAUGH	69.83
318	BRIAN	WYMAN	33.93
319	RONALD	WEINER	75.85
320	ANTHONY	SCHWAB	10.95
321	KEVIN	SCHULER	46.90
322	JASON	MORRISSEY	66.86
323	MATTHEW	MAHAN	62.83
324	GARY	COY	54.87
325	TIMOTHY	BUNN	32.93
326	JOSE	ANDREW	45.91
327	LARRY	THRASHER	65.84
328	JEFFREY	SPEAR	47.87
329	FRANK	WAGGONER	80.83
330	SCOTT	SHELLEY	44.88
331	ERIC	ROBERT	78.81
332	STEPHEN	QUALLS	48.88
333	ANDREW	PURDY	53.87
334	RAYMOND	MCWHORTER	82.82
335	GREGORY	MAULDIN	49.87
336	JOSHUA	MARK	43.90
337	JERRY	JORDON	78.84
338	DENNIS	GILMAN	59.84
339	WALTER	PERRYMAN	66.83
340	PATRICK	NEWSOM	64.83
341	PETER	MENARD	44.91
342	HAROLD	MARTINO	50.85
343	DOUGLAS	GRAF	47.90
344	HENRY	BILLINGSLEY	12.95
345	CARL	ARTIS	53.89
346	ARTHUR	SIMPKINS	75.85
347	RYAN	SALISBURY	58.88
348	ROGER	QUINTANILLA	62.87
349	JOE	GILLILAND	75.82
350	JUAN	FRALEY	31.88
351	JACK	FOUST	44.87
352	ALBERT	CROUSE	65.85
353	JONATHAN	SCARBOROUGH	17.95
354	JUSTIN	NGO	82.80
355	TERRY	GRISSOM	40.89
356	GERALD	FULTZ	53.83
357	KEITH	RICO	48.86
358	SAMUEL	MARLOW	56.85
359	WILLIE	MARKHAM	51.86
360	RALPH	MADRIGAL	65.84
361	LAWRENCE	LAWTON	42.85
362	NICHOLAS	BARFIELD	80.82
363	ROY	WHITING	72.87
364	BENJAMIN	VARNEY	42.89
365	BRUCE	SCHWARZ	60.87
366	BRANDON	HUEY	87.80
367	ADAM	GOOCH	51.89
368	HARRY	ARCE	92.79
369	FRED	WHEAT	36.88
370	WAYNE	TRUONG	35.91
371	BILLY	POULIN	89.77
372	STEVE	MACKENZIE	72.79
373	LOUIS	LEONE	89.81
374	JEREMY	HURTADO	33.90
375	AARON	SELBY	63.86
376	RANDY	GAITHER	80.79
377	HOWARD	FORTNER	50.84
378	EUGENE	CULPEPPER	38.89
379	CARLOS	COUGHLIN	69.85
380	RUSSELL	BRINSON	95.77
381	BOBBY	BOUDREAU	38.87
382	VICTOR	BARKLEY	46.89
383	MARTIN	BALES	64.85
384	ERNEST	STEPP	33.92
385	PHILLIP	HOLM	60.82
386	TODD	TAN	64.83
387	JESSE	SCHILLING	47.88
388	CRAIG	MORRELL	37.91
389	ALAN	KAHN	76.84
390	SHAWN	HEATON	77.83
391	CLARENCE	GAMEZ	68.81
392	SEAN	DOUGLASS	35.90
393	PHILIP	CAUSEY	51.88
394	CHRIS	BROTHERS	44.88
395	JOHNNY	TURPIN	45.86
396	EARL	SHANKS	26.93
397	JIMMY	SCHRADER	48.88
398	ANTONIO	MEEK	31.93
399	DANNY	ISOM	26.93
400	BRYAN	HARDISON	39.90
401	TONY	CARRANZA	31.90
402	LUIS	YANEZ	19.95
403	MIKE	WAY	84.82
404	STANLEY	SCROGGINS	78.82
405	LEONARD	SCHOFIELD	59.81
406	NATHAN	RUNYON	54.87
407	DALE	RATCLIFF	58.86
408	MANUEL	MURRELL	44.88
409	RODNEY	MOELLER	54.88
410	CURTIS	IRBY	101.76
411	NORMAN	CURRIER	31.89
412	ALLEN	BUTTERFIELD	51.88
413	MARVIN	YEE	41.88
414	VINCENT	RALSTON	72.84
415	GLENN	PULLEN	34.91
416	JEFFERY	PINSON	78.83
417	TRAVIS	ESTEP	68.85
418	JEFF	EAST	50.83
419	CHAD	CARBONE	52.86
420	JACOB	LANCE	22.93
421	LEE	HAWKS	72.84
422	MELVIN	ELLINGTON	49.88
423	ALFRED	CASILLAS	59.86
424	KYLE	SPURLOCK	47.89
425	FRANCIS	SIKES	48.87
426	BRADLEY	MOTLEY	68.86
427	JESUS	MCCARTNEY	60.87
428	HERBERT	KRUGER	47.89
429	FREDERICK	ISBELL	18.95
430	RAY	HOULE	58.87
431	JOEL	FRANCISCO	39.90
432	EDWIN	BURK	67.88
433	DON	BONE	75.86
434	EDDIE	TOMLIN	42.89
435	RICKY	SHELBY	67.83
436	TROY	QUIGLEY	69.86
437	RANDALL	NEUMANN	34.91
438	BARRY	LOVELACE	55.88
439	ALEXANDER	FENNELL	70.81
440	BERNARD	COLBY	46.89
441	MARIO	CHEATHAM	53.88
442	LEROY	BUSTAMANTE	58.84
443	FRANCISCO	SKIDMORE	52.88
444	MARCUS	HIDALGO	49.86
445	MICHEAL	FORMAN	65.85
446	THEODORE	CULP	53.86
447	CLIFFORD	BOWENS	64.85
448	MIGUEL	BETANCOURT	55.89
449	OSCAR	AQUINO	38.92
450	JAY	ROBB	53.85
451	JIM	REA	62.84
452	TOM	MILNER	51.81
453	CALVIN	MARTEL	48.89
454	ALEX	GRESHAM	61.86
455	JON	WILES	47.88
456	RONNIE	RICKETTS	63.85
457	BILL	GAVIN	64.82
458	LLOYD	DOWD	17.94
459	TOMMY	COLLAZO	108.78
460	LEON	BOSTIC	52.88
461	DEREK	BLAKELY	40.89
462	WARREN	SHERROD	97.79
463	DARRELL	POWER	45.84
464	JEROME	KENYON	49.91
465	FLOYD	GANDY	43.90
466	LEO	EBERT	62.88
467	ALVIN	DELOACH	67.85
468	TIM	CARY	74.81
469	WESLEY	BULL	100.79
470	GORDON	ALLARD	89.82
471	DEAN	SAUER	66.84
472	GREG	ROBINS	62.86
473	JORGE	OLIVARES	40.87
474	DUSTIN	GILLETTE	61.84
475	PEDRO	CHESTNUT	65.84
476	DERRICK	BOURQUE	52.86
477	DAN	PAINE	48.90
478	LEWIS	LYMAN	38.91
479	ZACHARY	HITE	47.88
480	COREY	HAUSER	33.91
481	HERMAN	DEVORE	56.86
482	MAURICE	CRAWLEY	48.91
483	VERNON	CHAPA	48.92
484	ROBERTO	VU	57.87
485	CLYDE	TOBIAS	57.85
486	GLEN	TALBERT	49.90
487	HECTOR	POINDEXTER	66.88
488	SHANE	MILLARD	29.92
489	RICARDO	MEADOR	55.88
490	SAM	MCDUFFIE	53.89
491	RICK	MATTOX	52.88
492	LESTER	KRAUS	27.93
493	BRENT	HARKINS	69.85
494	RAMON	CHOATE	45.88
495	CHARLIE	BESS	60.88
496	TYLER	WREN	50.88
497	GILBERT	SLEDGE	73.84
498	GENE	SANBORN	71.83
499	MARC	OUTLAW	72.84
500	REGINALD	KINDER	62.84
501	RUBEN	GEARY	40.89
502	BRETT	CORNWELL	73.81
503	ANGEL	BARCLAY	69.81
504	NATHANIEL	ADAM	61.88
505	RAFAEL	ABNEY	50.87
506	LESLIE	SEWARD	63.86
507	EDGAR	RHOADS	43.88
508	MILTON	HOWLAND	48.90
509	RAUL	FORTIER	59.90
510	BEN	EASTER	54.89
511	CHESTER	BENNER	60.84
512	CECIL	VINES	53.86
513	DUANE	TUBBS	69.85
514	FRANKLIN	TROUTMAN	41.87
515	ANDRE	RAPP	37.93
516	ELMER	NOE	55.85
517	BRAD	MCCURDY	51.89
518	GABRIEL	HARDER	49.88
519	RON	DELUCA	35.92
520	MITCHELL	WESTMORELAND	85.79
521	ROLAND	SOUTH	29.91
522	ARNOLD	HAVENS	58.88
523	HARVEY	GUAJARDO	61.88
524	JARED	ELY	37.92
525	ADRIAN	CLARY	33.89
526	KARL	SEAL	111.79
527	CORY	MEEHAN	63.83
528	CLAUDE	HERZOG	50.88
529	ERIK	GUILLEN	49.88
530	DARRYL	ASHCRAFT	42.87
531	JAMIE	WAUGH	53.90
532	NEIL	RENNER	71.85
533	JESSIE	MILAM	89.80
534	CHRISTIAN	JUNG	35.90
535	JAVIER	ELROD	75.80
536	FERNANDO	CHURCHILL	82.83
537	CLINTON	BUFORD	50.87
538	TED	BREAUX	56.84
539	MATHEW	BOLIN	27.91
540	TYRONE	ASHER	38.92
541	DARREN	WINDHAM	63.88
542	LONNIE	TIRADO	38.92
543	LANCE	PEMBERTON	33.89
544	CODY	NOLEN	56.85
545	JULIO	NOLAND	38.90
546	KELLY	KNOTT	61.85
547	KURT	EMMONS	37.90
548	ALLAN	CORNISH	37.91
549	NELSON	CHRISTENSON	22.93
550	GUY	BROWNLEE	86.82
551	CLAYTON	BARBEE	27.89
552	HUGH	WALDROP	32.93
553	MAX	PITT	49.90
554	DWAYNE	OLVERA	62.85
555	DWIGHT	LOMBARDI	32.92
556	ARMANDO	GRUBER	36.90
557	FELIX	GAFFNEY	31.87
558	JIMMIE	EGGLESTON	51.85
559	EVERETT	BANDA	69.83
560	JORDAN	ARCHULETA	70.83
561	IAN	STILL	59.83
562	WALLACE	SLONE	49.89
563	KEN	PREWITT	32.89
564	BOB	PFEIFFER	21.92
565	JAIME	NETTLES	70.82
566	CASEY	MENA	59.84
567	ALFREDO	MCADAMS	37.92
568	ALBERTO	HENNING	28.91
569	DAVE	GARDINER	73.85
570	IVAN	CROMWELL	32.89
571	JOHNNIE	CHISHOLM	75.86
572	SIDNEY	BURLESON	55.85
573	BYRON	BOX	58.83
574	JULIAN	VEST	84.79
575	ISAAC	OGLESBY	49.88
576	MORRIS	MCCARTER	68.82
577	CLIFTON	MALCOLM	50.90
578	WILLARD	LUMPKIN	44.89
579	DARYL	LARUE	39.88
580	ROSS	GREY	59.86
581	VIRGIL	WOFFORD	58.86
582	ANDY	VANHORN	60.85
583	MARSHALL	THORN	49.89
584	SALVADOR	TEEL	46.87
585	PERRY	SWAFFORD	56.89
586	KIRK	STCLAIR	35.90
587	SERGIO	STANFIELD	30.91
588	MARION	OCAMPO	57.84
589	TRACY	HERRMANN	65.86
590	SETH	HANNON	61.87
591	KENT	ARSENAULT	79.84
592	TERRANCE	ROUSH	70.84
593	RENE	MCALISTER	61.87
594	EDUARDO	HIATT	88.84
595	TERRENCE	GUNDERSON	73.83
596	ENRIQUE	FORSYTHE	54.83
597	FREDDIE	DUGGAN	49.86
598	WADE	DELVALLE	43.90
599	AUSTIN	CINTRON	28.92

